frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.039587192,-0.039587192,-0.039587192,-0.039587192,-0.039587192,0.0,0.0,0.0,0.0
2,-0.07862065,-0.07862065,-0.07862065,-0.07862065,-0.07862065,0.0,0.0,0.0,0.0
3,-0.11662998,-0.11662998,-0.11662998,-0.11662998,-0.11662998,0.0,0.0,0.0,0.0
4,-0.15327871,-0.15327871,-0.15327871,-0.15327871,-0.15327871,0.0,0.0,0.0,0.0
5,-0.18837212,-0.18837212,-0.18837212,-0.18837212,-0.18837212,0.0,0.0,0.0,0.0
6,-0.2218346,-0.2218346,-0.2218346,-0.2218346,-0.2218346,0.0,0.0,0.0,0.0
7,-0.25367564,-0.25367564,-0.25367564,-0.25367564,-0.25367564,0.0,0.0,0.0,0.0
8,-0.28395766,-0.28395766,-0.28395766,-0.28395766,-0.28395766,0.0,0.0,0.0,0.0
9,-0.3127717,-0.3127717,-0.3127717,-0.3127717,-0.3127717,0.0,0.0,0.0,0.0
10,-0.34022117,-0.34022117,-0.34022114,-0.34022117,-0.34022117,0.0,2.9802322e-08,0.0,0.0
11,-0.36641046,-0.36641046,-0.36641043,-0.36641046,-0.36641046,0.0,2.9802322e-08,0.0,0.0
12,-0.3914414,-0.3914414,-0.39144138,-0.3914414,-0.3914414,0.0,2.9802322e-08,0.0,0.0
13,-0.41540873,-0.41540873,-0.4154087,-0.41540873,-0.41540873,0.0,2.9802322e-08,0.0,0.0
14,-0.43839943,-0.43839943,-0.4383994,-0.43839943,-0.43839943,0.0,2.9802322e-08,0.0,0.0
15,-0.4604925,-0.4604925,-0.4604925,-0.4604925,-0.4604925,0.0,0.0,0.0,0.0
16,-0.4817592,-0.4817592,-0.4817592,-0.4817592,-0.4817592,0.0,0.0,0.0,0.0
17,-0.5022636,-0.5022636,-0.5022636,-0.5022636,-0.5022636,0.0,0.0,0.0,0.0
18,-0.52206343,-0.52206343,-0.52206343,-0.52206343,-0.52206343,0.0,0.0,0.0,0.0
19,-0.5412103,-0.5412103,-0.5412103,-0.5412103,-0.5412103,0.0,0.0,0.0,0.0
20,-0.55981326,-0.55981326,-0.5598132,-0.55981326,-0.55981326,0.0,5.9604645e-08,0.0,0.0
21,-0.57772714,-0.57772714,-0.57772714,-0.57772714,-0.57772714,0.0,0.0,0.0,0.0
22,-0.59521633,-0.59521633,-0.5952163,-0.59521633,-0.59521633,0.0,5.9604645e-08,0.0,0.0
23,-0.6121795,-0.6121795,-0.61217946,-0.6121795,-0.6121795,0.0,5.9604645e-08,0.0,0.0
24,-0.62866783,-0.62866783,-0.6286678,-0.62866783,-0.62866783,0.0,5.9604645e-08,0.0,0.0
25,-0.644725,-0.644725,-0.64472497,-0.644725,-0.644725,0.0,5.9604645e-08,0.0,0.0
26,-0.66037714,-0.66037714,-0.6603771,-0.66037714,-0.66037714,0.0,5.9604645e-08,0.0,0.0
27,-0.67564636,-0.67564636,-0.6756463,-0.67564636,-0.67564636,0.0,5.9604645e-08,0.0,0.0
28,-0.69055384,-0.69055384,-0.6905538,-0.69055384,-0.69055384,0.0,5.9604645e-08,0.0,0.0
29,-0.7051193,-0.7051193,-0.70511925,-0.7051193,-0.7051193,0.0,5.9604645e-08,0.0,0.0
30,-0.71936077,-0.71936077,-0.71936077,-0.71936077,-0.71936077,0.0,0.0,0.0,0.0
31,-0.73329496,-0.73329496,-0.7332949,-0.73329496,-0.73329496,0.0,5.9604645e-08,0.0,0.0
32,-0.74693716,-0.74693716,-0.7469371,-0.74693716,-0.74693716,0.0,5.9604645e-08,0.0,0.0
33,-0.7603016,-0.7603016,-0.76030153,-0.7603016,-0.7603016,0.0,5.9604645e-08,0.0,0.0
34,-0.77340144,-0.77340144,-0.77340144,-0.77340144,-0.77340144,0.0,0.0,0.0,0.0
35,-0.786249,-0.786249,-0.786249,-0.786249,-0.786249,0.0,0.0,0.0,0.0
36,-0.7988556,-0.7988556,-0.7988556,-0.7988556,-0.7988556,0.0,0.0,0.0,0.0
37,-0.8112319,-0.8112319,-0.8112319,-0.8112319,-0.8112319,0.0,0.0,0.0,0.0
38,-0.8233878,-0.8233878,-0.8233878,-0.8233878,-0.8233878,0.0,0.0,0.0,0.0
39,-0.8353325,-0.8353325,-0.8353325,-0.8353325,-0.8353325,0.0,0.0,0.0,0.0
40,-0.84707475,-0.84707475,-0.84707475,-0.84707475,-0.84707475,0.0,0.0,0.0,0.0
