frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.20574686,-0.20574686,-0.20574684,-0.20574686,-0.20574686,0.0,1.4901161e-08,0.0,0.0
2,-0.38557976,-0.38557976,-0.3855787,-0.38557976,-0.38557976,0.0,1.0728836e-06,0.0,0.0
3,-0.536554,-0.536554,-0.5365527,-0.536554,-0.536554,0.0,1.2516975e-06,0.0,0.0
4,-0.66467273,-0.66467273,-0.6646722,-0.66467273,-0.66467273,0.0,5.364418e-07,0.0,0.0
5,-0.77591455,-0.77591455,-0.77591443,-0.77591455,-0.77591455,0.0,1.1920929e-07,0.0,0.0
6,-0.8744433,-0.8744433,-0.87444323,-0.8744433,-0.8744433,0.0,5.9604645e-08,0.0,0.0
7,-0.96311873,-0.96311873,-0.9631187,-0.96311873,-0.96311873,0.0,5.9604645e-08,0.0,0.0
8,-1.0439521,-1.0439521,-1.0439521,-1.0439521,-1.0439521,0.0,0.0,0.0,0.0
9,-1.1183969,-1.1183969,-1.1183969,-1.1183969,-1.1183969,0.0,0.0,0.0,0.0
10,-1.1875327,-1.1875327,-1.1875327,-1.1875327,-1.1875327,0.0,0.0,0.0,0.0
11,-1.2521818,-1.2521818,-1.2521818,-1.2521818,-1.2521818,0.0,0.0,0.0,0.0
12,-1.3129854,-1.3129854,-1.3129854,-1.3129854,-1.3129854,0.0,0.0,0.0,0.0
13,-1.3704525,-1.3704525,-1.3704525,-1.3704525,-1.3704525,0.0,0.0,0.0,0.0
14,-1.4249953,-1.4249953,-1.4249952,-1.4249953,-1.4249953,0.0,1.1920929e-07,0.0,0.0
15,-1.4769493,-1.4769493,-1.4769491,-1.4769493,-1.4769493,0.0,2.3841858e-07,0.0,0.0
16,-1.5265956,-1.5265956,-1.5265955,-1.5265956,-1.5265956,0.0,1.1920929e-07,0.0,0.0
17,-1.5746756,-1.5746756,-1.5746752,-1.5746756,-1.5746756,0.0,3.5762787e-07,0.0,0.0
18,-1.619871,-1.619871,-1.6198709,-1.619871,-1.619871,0.0,1.1920929e-07,0.0,0.0
19,-1.6641026,-1.6641026,-1.6641023,-1.6641026,-1.6641026,0.0,2.3841858e-07,0.0,0.0
20,-1.7066952,-1.7066952,-1.7066948,-1.7066952,-1.7066952,0.0,3.5762787e-07,0.0,0.0
21,-1.7476724,-1.7476724,-1.7476721,-1.7476724,-1.7476724,0.0,3.5762787e-07,0.0,0.0
22,-1.7872943,-1.7872943,-1.7872939,-1.7872943,-1.7872943,0.0,3.5762787e-07,0.0,0.0
23,-1.8257335,-1.8257335,-1.8257332,-1.8257335,-1.8257335,0.0,3.5762787e-07,0.0,0.0
24,-1.8630706,-1.8630706,-1.8630704,-1.8630706,-1.8630706,0.0,2.3841858e-07,0.0,0.0
25,-1.8993666,-1.8993666,-1.8993664,-1.8993666,-1.8993666,0.0,2.3841858e-07,0.0,0.0
26,-1.9346865,-1.9346865,-1.9346863,-1.9346865,-1.9346865,0.0,2.3841858e-07,0.0,0.0
27,-1.9690938,-1.9690938,-1.9690937,-1.9690938,-1.9690938,0.0,1.1920929e-07,0.0,0.0
28,-2.0026453,-2.0026453,-2.002645,-2.0026453,-2.0026453,0.0,2.3841858e-07,0.0,0.0
29,-2.0353918,-2.0353918,-2.0353916,-2.0353918,-2.0353918,0.0,2.3841858e-07,0.0,0.0
30,-2.0673792,-2.0673792,-2.067379,-2.0673792,-2.0673792,0.0,2.3841858e-07,0.0,0.0
