frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.11902156,-0.11902156,-0.11902158,-0.11902156,-0.11902156,0.0,2.2351742e-08,0.0,0.0
2,-0.23788701,-0.23788701,-0.23788643,-0.23788701,-0.23788701,0.0,5.811453e-07,0.0,0.0
3,-0.35644302,-0.35644302,-0.35644075,-0.35644302,-0.35644302,0.0,2.2649765e-06,0.0,0.0
4,-0.4745408,-0.4745408,-0.4745361,-0.4745408,-0.4745408,0.0,4.708767e-06,0.0,0.0
5,-0.59203935,-0.59203935,-0.5920395,-0.59203935,-0.59203935,0.0,1.7881393e-07,0.0,0.0
6,-0.7088024,-0.7088024,-0.7088027,-0.7088024,-0.7088024,0.0,2.9802322e-07,0.0,0.0
7,-0.8247069,-0.8247069,-0.8247073,-0.8247069,-0.8247069,0.0,4.172325e-07,0.0,0.0
8,-0.93963975,-0.93963975,-0.93964034,-0.93963975,-0.93963975,0.0,5.9604645e-07,0.0,0.0
9,-1.0534995,-1.0534995,-1.0535003,-1.0534995,-1.0534995,0.0,8.34465e-07,0.0,0.0
10,-1.1661967,-1.1661967,-1.1661977,-1.1661967,-1.1661967,0.0,9.536743e-07,0.0,0.0
11,-1.2776543,-1.2776543,-1.2776555,-1.2776543,-1.2776543,0.0,1.1920929e-06,0.0,0.0
12,-1.3878068,-1.3878068,-1.3878082,-1.3878068,-1.3878068,0.0,1.4305115e-06,0.0,0.0
13,-1.4966004,-1.4966004,-1.4966004,-1.4966004,-1.4966004,0.0,0.0,0.0,0.0
14,-1.6039922,-1.6039922,-1.6039921,-1.6039922,-1.6039922,0.0,1.1920929e-07,0.0,0.0
15,-1.7099493,-1.7099493,-1.7099491,-1.7099493,-1.7099493,0.0,1.1920929e-07,0.0,0.0
16,-1.8144478,-1.8144478,-1.8144476,-1.8144478,-1.8144478,0.0,1.1920929e-07,0.0,0.0
17,-1.9174725,-1.9174725,-1.9174724,-1.9174725,-1.9174725,0.0,1.1920929e-07,0.0,0.0
18,-2.0190156,-2.0190156,-2.0190156,-2.0190156,-2.0190156,0.0,0.0,0.0,0.0
19,-2.119074,-2.119074,-2.1190755,-2.119074,-2.119074,0.0,1.4305115e-06,0.0,0.0
20,-2.217656,-2.217656,-2.2176573,-2.217656,-2.217656,0.0,1.4305115e-06,0.0,0.0
21,-2.3147688,-2.3147688,-2.31477,-2.3147688,-2.3147688,0.0,1.1920929e-06,0.0,0.0
22,-2.4104261,-2.4104261,-2.410427,-2.4104261,-2.4104261,0.0,9.536743e-07,0.0,0.0
23,-2.504645,-2.504645,-2.504646,-2.504645,-2.504645,0.0,9.536743e-07,0.0,0.0
24,-2.5974457,-2.5974457,-2.5974467,-2.5974457,-2.5974457,0.0,9.536743e-07,0.0,0.0
25,-2.6888506,-2.6888506,-2.6888516,-2.6888506,-2.6888506,0.0,9.536743e-07,0.0,0.0
26,-2.7788842,-2.7788842,-2.778885,-2.7788842,-2.7788842,0.0,7.1525574e-07,0.0,0.0
27,-2.867572,-2.867572,-2.8675728,-2.867572,-2.867572,0.0,7.1525574e-07,0.0,0.0
28,-2.9549413,-2.9549413,-2.954942,-2.9549413,-2.9549413,0.0,7.1525574e-07,0.0,0.0
29,-3.0410197,-3.0410197,-3.0410202,-3.0410197,-3.0410197,0.0,4.7683716e-07,0.0,0.0
30,-3.1258354,-3.1258354,-3.125836,-3.1258354,-3.1258354,0.0,4.7683716e-07,0.0,0.0
31,-3.2094173,-3.2094173,-3.2094178,-3.2094173,-3.2094173,0.0,4.7683716e-07,0.0,0.0
32,-3.2917938,-3.2917938,-3.2917943,-3.2917938,-3.2917938,0.0,4.7683716e-07,0.0,0.0
33,-3.3729937,-3.3729937,-3.3729942,-3.3729937,-3.3729937,0.0,4.7683716e-07,0.0,0.0
34,-3.4530454,-3.4530454,-3.4530458,-3.4530454,-3.4530454,0.0,4.7683716e-07,0.0,0.0
35,-3.5319772,-3.5319772,-3.5319774,-3.5319772,-3.5319772,0.0,2.3841858e-07,0.0,0.0
36,-3.6098166,-3.6098166,-3.609817,-3.6098166,-3.6098166,0.0,4.7683716e-07,0.0,0.0
