frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.2323258,-0.2323258,-0.23232579,-0.2323258,-0.2323258,0.0,1.4901161e-08,0.0,0.0
2,-0.38871276,-0.38871276,-0.38871276,-0.38871276,-0.38871276,0.0,0.0,0.0,0.0
3,-0.5038019,-0.5038019,-0.5038019,-0.5038019,-0.5038019,0.0,0.0,0.0,0.0
4,-0.5963311,-0.5963311,-0.5963311,-0.5963311,-0.5963311,0.0,0.0,0.0,0.0
5,-0.67461926,-0.67461926,-0.67461926,-0.67461926,-0.67461926,0.0,0.0,0.0,0.0
6,-0.74306136,-0.74306136,-0.74306136,-0.74306136,-0.74306136,0.0,0.0,0.0,0.0
7,-0.80422974,-0.80422974,-0.80422974,-0.80422974,-0.80422974,0.0,0.0,0.0,0.0
8,-0.8597854,-0.8597854,-0.8597854,-0.8597854,-0.8597854,0.0,0.0,0.0,0.0
9,-0.9108683,-0.9108683,-0.9108682,-0.9108683,-0.9108683,0.0,5.9604645e-08,0.0,0.0
10,-0.9582912,-0.9582912,-0.9582911,-0.9582912,-0.9582912,0.0,5.9604645e-08,0.0,0.0
11,-1.0026648,-1.0026648,-1.0026648,-1.0026648,-1.0026648,0.0,0.0,0.0,0.0
12,-1.0444542,-1.0444542,-1.0444542,-1.0444542,-1.0444542,0.0,0.0,0.0,0.0
13,-1.0840241,-1.0840241,-1.0840241,-1.0840241,-1.0840241,0.0,0.0,0.0,0.0
14,-1.121666,-1.121666,-1.121666,-1.121666,-1.121666,0.0,0.0,0.0,0.0
15,-1.1577832,-1.1577832,-1.1577832,-1.1577832,-1.1577832,0.0,0.0,0.0,0.0
16,-1.192072,-1.192072,-1.192072,-1.192072,-1.192072,0.0,0.0,0.0,0.0
17,-1.2252843,-1.2252843,-1.2252843,-1.2252843,-1.2252843,0.0,0.0,0.0,0.0
18,-1.2572219,-1.2572219,-1.2572218,-1.2572219,-1.2572219,0.0,1.1920929e-07,0.0,0.0
19,-1.2880516,-1.2880516,-1.2880516,-1.2880516,-1.2880516,0.0,0.0,0.0,0.0
20,-1.3179115,-1.3179115,-1.3179115,-1.3179115,-1.3179115,0.0,0.0,0.0,0.0
21,-1.3468891,-1.3468891,-1.3468891,-1.3468891,-1.3468891,0.0,0.0,0.0,0.0
22,-1.3750577,-1.3750577,-1.3750577,-1.3750577,-1.3750577,0.0,0.0,0.0,0.0
23,-1.4024835,-1.4024835,-1.4024833,-1.4024835,-1.4024835,0.0,1.1920929e-07,0.0,0.0
